sortRank,ref,totalVotes,code_read,verbatim_score,note
273,vineetvsalimath/ai-agent-secure-3,7,no,,
274,paul720810/hermes-openclaw-attack-e005-20260624-020503,1,no,,
275,musnet/go-explore-red-team-multi-step-tool-attacks,5,no,,
276,carlysipahutar/jed-attack-v2,4,no,,
277,paul720810/hermes-openclaw-attack-e005-20260624-123750,0,no,,
278,udaken10/hi-hihi-ho,5,no,,
279,tkhanna96/h006-v2-geometry-nb,1,no,,
280,tkhanna96/h006-v2-scale-2k-nb,1,no,,
281,tkhanna96/h006-v3-optimize-nb,1,no,,
282,tkhanna96/h006-v2-h007-stack-nb,1,no,,
283,tkhanna96/h006-simple-scale-900-nb,1,no,,
284,tkhanna96/h006-4post-400-nb,1,no,,
285,tkhanna96/h006-2turn-4post-400-nb,1,no,,
286,paul720810/hermes-openclaw-attack-v5-5,2,no,,
287,paul720810/hermes-openclaw-attack-v5-4-4-20260615-045937,2,no,,
288,paul720810/hermes-openclaw-attack-v5-4-4-20260615-094527,2,no,,
289,paul720810/hermes-openclaw-attack-v5-4-4-20260615-111041,2,no,,
290,paul720810/hermes-openclaw-attack-v7-0,3,no,,
291,paul720810/hermes-openclaw-attack-v7-5-20260618-012506,1,no,,
292,paul720810/hermes-openclaw-attack-v7-5-20260618-013134,1,no,,
293,paul720810/hermes-openclaw-attack-v7-5-20260618-075324,0,no,,
294,paul720810/hermes-openclaw-attack-v7-5-20260618-132354,3,no,,
295,paul720810/hermes-openclaw-attack-v8-0,0,no,,
296,berkahkarya/ai-agent-security-attack-v36,1,no,,
297,paul720810/hermes-openclaw-attack-v7-5-20260619-173824,0,no,,
298,paul720810/hermes-openclaw-attack-e002-20260619-174939,1,no,,
299,paul720810/hermes-openclaw-attack-e003-20260619-175322,0,no,,
300,paul720810/hermes-openclaw-attack-e004-20260620-021421,0,no,,
301,paul720810/hermes-openclaw-attack-e005-20260620-025043,0,no,,
302,max4kr/notebook22b0ab8b82,0,no,,
303,geokocha/eda-agent-security-sdk-deep-dive,7,no,,
304,sgzk001/ai-agent-security-optimized-attack,1,no,,
305,seyominaoto/jed-attack-multi-strategy,0,no,,
306,paul720810/hermes-openclaw-attack-e005-20260622-121024,1,no,,
307,paul720810/hermes-openclaw-attack-e005-20260623-000650,1,no,,
308,paul720810/hermes-openclaw-attack-e005-20260623-000740,1,no,,
309,paul720810/hermes-openclaw-attack-e005-20260623-020427,1,no,,
310,paul720810/hermes-openclaw-attack-e005-20260623-040534,1,no,,
311,paul720810/hermes-openclaw-attack-e005-20260624-020556,1,no,,
312,alt0er/ai-agent-security-submission,1,no,,
313,paul720810/hermes-openclaw-attack-e005-20260630-141208,1,no,,
314,farmountain/harness-test-ai-sec-nb-sub01,1,no,,
315,paul720810/hermes-openclaw-attack-e005-20260702-041330,2,no,,
316,verise6211/aas-caoyupeng-repro,1,no,,
317,verise6211/aas-sentinel,0,no,,
318,qyq1693/ai-agent-security-speed-v12,0,no,,
319,erkkj98/notebook1e97ff965b,1,no,,
320,paul720810/hermes-attack-v56-n950-ultrashort-20260718-003002,0,no,,
321,narajan/best-public-score,5,no,,
322,clawdyhuang/ai-agent-security-sov-v9,3,no,,
323,clawdyhuang/ai-agent-security-sov-v10,0,no,,
324,aminmahmoudalifayed/shadow-strike-advanced-multi-step-ai-agent-attack,5,no,,
325,arnavkewalram/ai-agent-security-attack,3,no,,
326,aadias777/ais-attack-notebook,1,no,,
327,yujiyyy/jed-benchmark-demystified,2,no,,
328,mdabdulalhasib/apex-attack-engine-multi-step,8,no,,
329,rauffauzanrambe/agent-v20-security-for-the-openai,8,no,,
330,sohaibdevv/ai-agent-security,8,no,,
331,chaitanyajamble/ai-agent-security-multi-step-tool-attack,5,no,,
332,roy210005/ai-agent-sec-v1,2,no,,
333,avikdas567/diversity-optimized-multi-step-agent-red-teaming,20,no,,
334,llkh0a/aas-local-validation,459,yes,,V2 vote-baseline code-read
335,chaitanyajamble/ai-agent-security-multi-step-tool-attacks,1,no,,
336,quynthnh/sdk-walkthrough-attack-strategy,5,no,,
337,beicicc/security-eval-public,4,no,,
338,paul720810/hermes-openclaw-attack-v4,3,no,,
