ref,title,author,lastRunTime,totalVotes,sortRank
rauffauzanrambe/security-agresive-multi-attack-with-agents-ai,Security Agresive Multi Attack with Agents AI,Ra'uf Fauzan Rambe,2026-06-18T08:07:37.193000,6,96
tkhanna96/h006-pilkwang-580,H006 Pilkwang 580,Tkhanna96,2026-06-23T07:17:14.343000,7,97
paul720810/hermes-attack-v69-proven-code-20260721-052046,Hermes Attack v69-proven-code-20260721-052046,Paul720810,2026-07-21T05:20:49.097000,1,98
paul720810/hermes-attack-v71-n1000-20260721-102018,Hermes Attack v71-n1000-20260721-102018,Paul720810,2026-07-21T10:20:21.030000,6,99
malikhammadfarooq/multi-step-tool-attacks-replay-aware-exfil,Multi-Step Tool Attacks — Replay-Aware Exfil,Hammad Farooq,2026-08-27T09:20:16.733000,0,100
pengwang91/jed-fill-yusuke-m50,jed-fill-yusuke-m50,Peng Wang,2026-07-06T02:21:37.913000,2,101
caoyupeng/real-submission-fork-from-pilkwang-changed,[real submission]Fork from pilkwang-changed,SpeedSci,2026-07-01T16:16:04.887000,10,102
evilyevihut/ai-agent-security-fast-safe-560,AI Agent Security Fast Safe 560,Zhang.ZJ,2026-06-20T16:16:54.597000,6,103
paul720810/hermes-attack-v58-pure-n1000-std-20260719-002444,Hermes Attack v58-pure-n1000-std-20260719-002444,Paul720810,2026-07-19T00:24:48.733000,2,104
paul720810/hermes-attack-v59-pure-n1100-std-20260719-002609,Hermes Attack v59-pure-n1100-std-20260719-002609,Paul720810,2026-07-19T00:26:13.347000,2,105
pengwang91/jed-fill-yusuke-m44,jed-fill-yusuke-m44,Peng Wang,2026-07-06T02:22:13.807000,2,106
paul720810/hermes-attack-v70-n900-20260721-101920,Hermes Attack v70-n900-20260721-101920,Paul720810,2026-07-21T10:19:24.107000,4,107
malikhammadfarooq/per-post-exfil-budget-sized,"Per-Post EXFIL, Budget-Sized",Hammad Farooq,2026-08-28T16:46:39.417000,0,108
kashyapsinhgohil/multi-step-tool, Multi-Step Tool,Kashyapsinh gohil,2026-08-27T13:17:52.687000,0,109
devchandra/ai-agent-security-v66b-yusuke-lb60-bare-m37,AI Agent Security v66b Yusuke LB60 bare m37,Dr Chandrasen Pandey,2026-07-06T01:17:46.913000,5,110
karnakbaevarthur/multi-endpoint-severity-stacker,Multi Endpoint Severity Stacker ,Karnakbayev Artur,2026-06-16T05:28:20.557000,118,111
verityix/ai-agent-security-attack-algorithm-hitherto,AI Agent Security — Attack Algorithm (Hitherto),Verity IX,2026-09-01T22:43:29.540000,30,112
berkahkarya/ai-agent-security-v50-probe-verify-attack,AI Agent Security - v50 Probe-Verify Attack,Berkahkarya Dev,2026-06-19T20:11:26.260000,3,113
yaroslavkholmirzayev/ai-agent-security-achieve-and-validate,AI Agent Security | achieve and validate 🌀,Yaroslav kholmirzayev,2026-06-30T09:23:24.307000,29,114
arizalfirdaus123/multi-turn-exfiltration-with-adaptive-burst,Multi-Turn Exfiltration with Adaptive Burst,Arizal Muluk,2026-07-02T09:14:05.297000,62,115
evilyevihut/ai-agent-security-fast-safe-520,AI Agent Security Fast Safe 520,Zhang.ZJ,2026-06-19T08:32:42.957000,3,116
xiaoz259/aas-final-submission-cd,AAS | Final Submission - CD,xz,2026-09-01T09:42:11.557000,6,117
paul720810/hermes-attack-v55-n1050-std-20260718-002905,Hermes Attack v55-n1050-std-20260718-002905,Paul720810,2026-07-18T00:29:10.627000,1,118
geokocha/replay-dense-exfiltration-first-submission,Replay-Dense Exfiltration — First Submission,Yuanchen Huang,2026-06-16T09:05:13.850000,6,119
junaid512/anatomy-of-an-agentic-jailbreak,Anatomy of an Agentic Jailbreak ,Muhammad Junaid,2026-06-23T10:55:48.543000,1,120
